Shoreline	
562	2
144.0613276	-40.06910179
144.0609021	-40.06908244
144.0604572	-40.0691308
144.0602445	-40.06944028
144.0604089	-40.0698368
144.0609795	-40.0699722
144.0615404	-40.07015595
144.0621787	-40.0702043
144.0624979	-40.06975943
144.122628	-39.99995
144.122628	-40.0001
144.1226341	-40.0004
144.1226614	-40.0007
144.1226661	-40.001
144.1226485	-40.0013
144.1226951	-40.0016
144.1226931	-40.0019
144.1225	-40.00209854
144.1223991	-40.0022
144.1222	-40.00238163
144.1220852	-40.0025
144.1219	-40.00265811
144.1217962	-40.0028
144.1216	-40.00296974
144.1213	-40.00297441
144.1211737	-40.0031
144.121	-40.00328483
144.1207	-40.0033603
144.1204	-40.00337897
144.1203742	-40.0034
144.1201	-40.00361731
144.1199662	-40.0037
144.1198	-40.00390962
144.1197101	-40.004
144.1195	-40.00421352
144.1194136	-40.0043
144.1192202	-40.0046
144.1192	-40.00462686
144.1191285	-40.0046
144.1189	-40.00455453
144.1188753	-40.0046
144.1186	-40.00483693
144.1184988	-40.0049
144.1183	-40.00510818
144.1182055	-40.0052
144.118	-40.0053711
144.1178706	-40.0055
144.1177	-40.00572671
144.1176425	-40.0058
144.1174	-40.00604394
144.1173485	-40.0061
144.1171	-40.00631269
144.1170157	-40.0064
144.1168	-40.00668779
144.1167941	-40.0067
144.1167814	-40.007
144.1165	-40.00728708
144.1164891	-40.0073
144.1162	-40.0075643
144.1159	-40.00757547
144.1156	-40.00758663
144.1155806	-40.0076
144.1153	-40.00786992
144.115	-40.00787159
144.1149615	-40.0079
144.1149909	-40.0082
144.1149696	-40.0085
144.1147	-40.0087725
144.114671	-40.0088
144.1146717	-40.0091
144.1147	-40.0091652
144.1148814	-40.0094
144.1148891	-40.0097
144.115	-40.00981189
144.1152043	-40.01
144.1152458	-40.0103
144.1153	-40.0104136
144.115476	-40.0106
144.1156	-40.01072406
144.1159	-40.01069929
144.1160999	-40.0109
144.1162	-40.01100016
144.1164307	-40.0112
144.1165	-40.01126928
144.1166685	-40.0115
144.11675	-40.0118
144.1168	-40.01186155
144.117033	-40.0121
144.1171	-40.01220159
144.1173019	-40.0124
144.1173151	-40.0127
144.1173241	-40.013
144.1172876	-40.0133
144.1171711	-40.0136
144.1171929	-40.0139
144.1172817	-40.0142
144.1171	-40.01436295
144.1168	-40.0144296
144.1167507	-40.0145
144.1168	-40.01454456
144.1170163	-40.0148
144.1170106	-40.0151
144.1171	-40.01518027
144.1172721	-40.0154
144.1172818	-40.0157
144.1172875	-40.016
144.1171	-40.01616373
144.1169637	-40.0163
144.117008	-40.0166
144.1168	-40.01682697
144.1167626	-40.0169
144.1167689	-40.0172
144.1167539	-40.0175
144.1167341	-40.0178
144.1167239	-40.0181
144.116752	-40.0184
144.1165	-40.01865939
144.1162	-40.0186643
144.1161573	-40.0187
144.1159	-40.01892087
144.1156	-40.01889113
144.1154588	-40.019
144.1153	-40.01916576
144.1151658	-40.0193
144.115	-40.01946838
144.1149353	-40.0196
144.1147	-40.01980897
144.1145808	-40.0199
144.1144	-40.02005881
144.1142123	-40.0202
144.1141	-40.02030511
144.113924	-40.0205
144.1138	-40.02063001
144.1136781	-40.0208
144.1135	-40.020971
144.113404	-40.0211
144.1132	-40.02129747
144.1130879	-40.0214
144.1129	-40.02159931
144.1127892	-40.0217
144.1126	-40.02191387
144.112487	-40.022
144.1123	-40.02219006
144.1121761	-40.0223
144.112	-40.02248492
144.1117	-40.02246535
144.1114	-40.022472
144.1112249	-40.0223
144.1111798	-40.022
144.1111581	-40.0217
144.1111912	-40.0214
144.1111	-40.0212703
144.110923	-40.0211
144.1108	-40.02107603
144.1105	-40.02107864
144.1104708	-40.0211
144.1102	-40.02136072
144.1099	-40.0213825
144.1096	-40.02138672
144.1095853	-40.0214
144.1093	-40.02168656
144.1092793	-40.0217
144.109	-40.02196876
144.1087	-40.02195109
144.1084	-40.02194212
144.1082788	-40.022
144.1081	-40.02216444
144.1079644	-40.0223
144.1081	-40.02243556
144.1082456	-40.0226
144.1081	-40.02275685
144.1080371	-40.0229
144.1078	-40.02313869
144.1075	-40.02316356
144.1074544	-40.0232
144.1072	-40.02344766
144.1070589	-40.0235
144.1069	-40.02368742
144.1068249	-40.0238
144.1066	-40.02404528
144.1065434	-40.0241
144.1063	-40.02431383
144.1062106	-40.0244
144.106	-40.02460219
144.1057	-40.02458838
144.1055637	-40.0247
144.1055105	-40.025
144.1054	-40.0251019
144.1052521	-40.0253
144.1051	-40.0254503
144.1049003	-40.0256
144.1048	-40.02570275
144.1046027	-40.0259
144.1045	-40.02601955
144.1043196	-40.0262
144.1042	-40.02632972
144.1040297	-40.0265
144.1039	-40.02666222
144.1038302	-40.0268
144.1036	-40.02701066
144.1035122	-40.0271
144.1033	-40.02731228
144.103	-40.02731305
144.1027573	-40.0271
144.1027	-40.02700917
144.1026554	-40.0271
144.1024	-40.02734309
144.1023589	-40.0274
144.1021	-40.0276588
144.102052	-40.0277
